PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=27 ttl=64 time=6.93 ms
64 bytes from 10.0.0.1: icmp_seq=28 ttl=64 time=7.19 ms
64 bytes from 10.0.0.1: icmp_seq=29 ttl=64 time=7.07 ms
64 bytes from 10.0.0.1: icmp_seq=30 ttl=64 time=7.32 ms
64 bytes from 10.0.0.1: icmp_seq=31 ttl=64 time=7.41 ms
64 bytes from 10.0.0.1: icmp_seq=32 ttl=64 time=7.17 ms
64 bytes from 10.0.0.1: icmp_seq=33 ttl=64 time=8.09 ms
64 bytes from 10.0.0.1: icmp_seq=34 ttl=64 time=7.09 ms
64 bytes from 10.0.0.1: icmp_seq=35 ttl=64 time=8.19 ms
64 bytes from 10.0.0.1: icmp_seq=36 ttl=64 time=6.47 ms
64 bytes from 10.0.0.1: icmp_seq=37 ttl=64 time=5.79 ms
64 bytes from 10.0.0.1: icmp_seq=38 ttl=64 time=7.11 ms
64 bytes from 10.0.0.1: icmp_seq=39 ttl=64 time=7.25 ms
64 bytes from 10.0.0.1: icmp_seq=40 ttl=64 time=7.03 ms
64 bytes from 10.0.0.1: icmp_seq=41 ttl=64 time=7.14 ms
64 bytes from 10.0.0.1: icmp_seq=42 ttl=64 time=7.27 ms
64 bytes from 10.0.0.1: icmp_seq=43 ttl=64 time=7.47 ms
64 bytes from 10.0.0.1: icmp_seq=44 ttl=64 time=6.08 ms
64 bytes from 10.0.0.1: icmp_seq=45 ttl=64 time=6.22 ms
64 bytes from 10.0.0.1: icmp_seq=46 ttl=64 time=6.41 ms
64 bytes from 10.0.0.1: icmp_seq=47 ttl=64 time=6.36 ms
64 bytes from 10.0.0.1: icmp_seq=48 ttl=64 time=7.78 ms
64 bytes from 10.0.0.1: icmp_seq=49 ttl=64 time=7.92 ms
64 bytes from 10.0.0.1: icmp_seq=50 ttl=64 time=6.65 ms
64 bytes from 10.0.0.1: icmp_seq=51 ttl=64 time=6.62 ms
64 bytes from 10.0.0.1: icmp_seq=52 ttl=64 time=7.76 ms
64 bytes from 10.0.0.1: icmp_seq=53 ttl=64 time=7.47 ms
64 bytes from 10.0.0.1: icmp_seq=54 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=55 ttl=64 time=7.58 ms
64 bytes from 10.0.0.1: icmp_seq=56 ttl=64 time=6.39 ms
64 bytes from 10.0.0.1: icmp_seq=57 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=58 ttl=64 time=7.64 ms
64 bytes from 10.0.0.1: icmp_seq=59 ttl=64 time=7.74 ms
64 bytes from 10.0.0.1: icmp_seq=60 ttl=64 time=6.67 ms
64 bytes from 10.0.0.1: icmp_seq=61 ttl=64 time=7.60 ms
64 bytes from 10.0.0.1: icmp_seq=62 ttl=64 time=6.57 ms
64 bytes from 10.0.0.1: icmp_seq=63 ttl=64 time=7.79 ms
64 bytes from 10.0.0.1: icmp_seq=64 ttl=64 time=8.00 ms
64 bytes from 10.0.0.1: icmp_seq=65 ttl=64 time=6.67 ms
64 bytes from 10.0.0.1: icmp_seq=66 ttl=64 time=7.82 ms
64 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=5.99 ms
64 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=6.03 ms
64 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=7.42 ms
64 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=7.63 ms
64 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=7.37 ms
64 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=5.83 ms
64 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=5.94 ms
64 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=6.05 ms
64 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=7.39 ms
64 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=7.47 ms
64 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=7.01 ms
64 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=7.24 ms
64 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=6.90 ms
64 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=6.99 ms
64 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=8.13 ms
64 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=7.95 ms
64 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=7.41 ms
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=6.19 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=7.37 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=7.53 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=7.81 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=7.35 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=7.61 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=7.75 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=7.62 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=7.73 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=7.45 ms
64 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=7.79 ms
64 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=7.78 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=7.85 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=7.90 ms
64 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=8.12 ms
64 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=8.09 ms
64 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=7.85 ms
64 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=7.59 ms
64 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=7.69 ms
64 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=6.43 ms
64 bytes from 10.0.0.1: icmp_seq=105 ttl=64 time=6.60 ms
64 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=7.85 ms
64 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=7.95 ms
64 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=8.08 ms
64 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=8.00 ms
64 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=8.00 ms
64 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=8.27 ms
64 bytes from 10.0.0.1: icmp_seq=112 ttl=64 time=7.04 ms
64 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=8.21 ms
64 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=8.19 ms
64 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=7.00 ms
64 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=7.08 ms
64 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=7.39 ms
64 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=7.20 ms
64 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=7.41 ms
64 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=6.49 ms
64 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=2.58 ms
64 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=5.01 ms
64 bytes from 10.0.0.1: icmp_seq=123 ttl=64 time=6.40 ms
64 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=7.76 ms
64 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=6.55 ms
64 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=7.99 ms
64 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=6.72 ms
64 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=8.21 ms
64 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=6.68 ms
64 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=8.16 ms
64 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=6.79 ms
64 bytes from 10.0.0.1: icmp_seq=132 ttl=64 time=7.99 ms
64 bytes from 10.0.0.1: icmp_seq=133 ttl=64 time=6.97 ms
64 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=8.17 ms
64 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=7.06 ms
64 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=1.91 ms
64 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=7.11 ms
64 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=5.10 ms
64 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=7.67 ms
64 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=3.74 ms
64 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=1.20 ms
