0.025329560 127.0.0.1:6633 127.0.0.1:35390 140 0x25d3cf66 0x25d3cf66 10 7 44032 11366 45056
4.978324668 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc5625 0x48dc17ed 11 2147483647 29184 44705 29696
4.978401107 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc6175 0x48dc1d95 12 2147483647 32256 44485 29696
4.980521144 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc6cc5 0x48dc233d 13 2147483647 34816 44294 29696
4.980638682 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc7815 0x48dc28e5 14 2147483647 37888 44391 29696
4.982845931 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc8365 0x48dc2e8d 15 2147483647 40960 44489 29696
4.982928612 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc8eb5 0x48dc3435 16 2147483647 43520 44838 29696
4.986573179 10.0.0.2:36657 10.0.0.1:5001 32 0x48dc9a05 0x48dc39dd 17 2147483647 46592 45147 29696
4.986627400 10.0.0.2:36657 10.0.0.1:5001 32 0x48dca555 0x48dc3f85 18 2147483647 49664 45892 29696
4.987718357 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcb0a5 0x48dc452d 19 2147483647 52224 46547 29696
4.998724927 10.0.0.1:5001 10.0.0.2:36657 1480 0xc0c52ad5 0xc0c52ad5 10 2147483647 29696 40000 55296
5.020021892 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcbbf5 0x48dc4ad5 20 2147483647 55296 47261 29696
5.020079303 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcc745 0x48dc507d 21 2147483647 58368 46559 29696
5.020104812 10.0.0.1:5001 10.0.0.2:36657 1480 0xc0c52ad5 0xc0c52ad5 10 2147483647 29696 40000 98816
5.024549369 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcd295 0x48dc5625 22 2147483647 60928 45949 29696
5.024625832 10.0.0.1:5001 10.0.0.2:36657 1480 0xc0c52ad5 0xc0c52ad5 10 2147483647 29696 40000 110080
5.024682118 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcdde5 0x48dc5bcd 23 2147483647 64000 45983 29696
5.024774763 10.0.0.2:36657 10.0.0.1:5001 32 0x48dce935 0x48dc6175 24 2147483647 67072 46027 29696
5.029403957 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcf485 0x48dc671d 25 2147483647 69632 46070 29696
5.029454712 10.0.0.2:36657 10.0.0.1:5001 32 0x48dcffd5 0x48dc6cc5 26 2147483647 72704 46667 29696
5.029481711 10.0.0.2:36657 10.0.0.1:5001 32 0x48dd0b25 0x48dc726d 27 2147483647 75776 46923 29696
5.032252162 10.0.0.2:36657 10.0.0.1:5001 32 0x48dd1675 0x48dc7815 28 2147483647 78336 47148 29696
