PING 10.0.0.1 (10.0.0.1) 56(84) bytes of data.
64 bytes from 10.0.0.1: icmp_seq=67 ttl=64 time=0.683 ms
64 bytes from 10.0.0.1: icmp_seq=68 ttl=64 time=0.564 ms
64 bytes from 10.0.0.1: icmp_seq=69 ttl=64 time=0.591 ms
64 bytes from 10.0.0.1: icmp_seq=70 ttl=64 time=0.671 ms
64 bytes from 10.0.0.1: icmp_seq=71 ttl=64 time=0.659 ms
64 bytes from 10.0.0.1: icmp_seq=72 ttl=64 time=0.547 ms
64 bytes from 10.0.0.1: icmp_seq=73 ttl=64 time=0.614 ms
64 bytes from 10.0.0.1: icmp_seq=74 ttl=64 time=0.580 ms
64 bytes from 10.0.0.1: icmp_seq=75 ttl=64 time=0.594 ms
64 bytes from 10.0.0.1: icmp_seq=76 ttl=64 time=0.583 ms
64 bytes from 10.0.0.1: icmp_seq=77 ttl=64 time=0.621 ms
64 bytes from 10.0.0.1: icmp_seq=78 ttl=64 time=0.611 ms
64 bytes from 10.0.0.1: icmp_seq=79 ttl=64 time=0.615 ms
64 bytes from 10.0.0.1: icmp_seq=80 ttl=64 time=0.548 ms
64 bytes from 10.0.0.1: icmp_seq=81 ttl=64 time=0.639 ms
64 bytes from 10.0.0.1: icmp_seq=82 ttl=64 time=0.541 ms
64 bytes from 10.0.0.1: icmp_seq=83 ttl=64 time=0.565 ms
64 bytes from 10.0.0.1: icmp_seq=84 ttl=64 time=0.592 ms
64 bytes from 10.0.0.1: icmp_seq=85 ttl=64 time=0.598 ms
64 bytes from 10.0.0.1: icmp_seq=86 ttl=64 time=0.546 ms
64 bytes from 10.0.0.1: icmp_seq=87 ttl=64 time=0.569 ms
64 bytes from 10.0.0.1: icmp_seq=88 ttl=64 time=0.580 ms
64 bytes from 10.0.0.1: icmp_seq=89 ttl=64 time=0.598 ms
64 bytes from 10.0.0.1: icmp_seq=90 ttl=64 time=0.585 ms
64 bytes from 10.0.0.1: icmp_seq=91 ttl=64 time=0.576 ms
64 bytes from 10.0.0.1: icmp_seq=92 ttl=64 time=0.610 ms
64 bytes from 10.0.0.1: icmp_seq=93 ttl=64 time=0.586 ms
64 bytes from 10.0.0.1: icmp_seq=94 ttl=64 time=0.633 ms
64 bytes from 10.0.0.1: icmp_seq=95 ttl=64 time=0.625 ms
64 bytes from 10.0.0.1: icmp_seq=96 ttl=64 time=0.570 ms
64 bytes from 10.0.0.1: icmp_seq=97 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=98 ttl=64 time=0.621 ms
64 bytes from 10.0.0.1: icmp_seq=99 ttl=64 time=0.595 ms
64 bytes from 10.0.0.1: icmp_seq=100 ttl=64 time=0.562 ms
64 bytes from 10.0.0.1: icmp_seq=101 ttl=64 time=0.586 ms
64 bytes from 10.0.0.1: icmp_seq=102 ttl=64 time=0.622 ms
64 bytes from 10.0.0.1: icmp_seq=103 ttl=64 time=0.565 ms
64 bytes from 10.0.0.1: icmp_seq=104 ttl=64 time=0.558 ms
64 bytes from 10.0.0.1: icmp_seq=105 ttl=64 time=0.605 ms
64 bytes from 10.0.0.1: icmp_seq=106 ttl=64 time=0.580 ms
64 bytes from 10.0.0.1: icmp_seq=107 ttl=64 time=0.664 ms
64 bytes from 10.0.0.1: icmp_seq=108 ttl=64 time=0.614 ms
64 bytes from 10.0.0.1: icmp_seq=109 ttl=64 time=0.535 ms
64 bytes from 10.0.0.1: icmp_seq=110 ttl=64 time=0.598 ms
64 bytes from 10.0.0.1: icmp_seq=111 ttl=64 time=0.550 ms
64 bytes from 10.0.0.1: icmp_seq=112 ttl=64 time=0.613 ms
64 bytes from 10.0.0.1: icmp_seq=113 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=114 ttl=64 time=0.592 ms
64 bytes from 10.0.0.1: icmp_seq=115 ttl=64 time=0.556 ms
64 bytes from 10.0.0.1: icmp_seq=116 ttl=64 time=0.551 ms
64 bytes from 10.0.0.1: icmp_seq=117 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=118 ttl=64 time=0.558 ms
64 bytes from 10.0.0.1: icmp_seq=119 ttl=64 time=0.592 ms
64 bytes from 10.0.0.1: icmp_seq=120 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=121 ttl=64 time=0.633 ms
64 bytes from 10.0.0.1: icmp_seq=122 ttl=64 time=0.557 ms
64 bytes from 10.0.0.1: icmp_seq=123 ttl=64 time=0.536 ms
64 bytes from 10.0.0.1: icmp_seq=124 ttl=64 time=0.574 ms
64 bytes from 10.0.0.1: icmp_seq=125 ttl=64 time=0.559 ms
64 bytes from 10.0.0.1: icmp_seq=126 ttl=64 time=0.576 ms
64 bytes from 10.0.0.1: icmp_seq=127 ttl=64 time=0.553 ms
64 bytes from 10.0.0.1: icmp_seq=128 ttl=64 time=0.535 ms
64 bytes from 10.0.0.1: icmp_seq=129 ttl=64 time=0.556 ms
64 bytes from 10.0.0.1: icmp_seq=130 ttl=64 time=0.568 ms
64 bytes from 10.0.0.1: icmp_seq=131 ttl=64 time=0.542 ms
64 bytes from 10.0.0.1: icmp_seq=132 ttl=64 time=0.550 ms
64 bytes from 10.0.0.1: icmp_seq=133 ttl=64 time=0.563 ms
64 bytes from 10.0.0.1: icmp_seq=134 ttl=64 time=0.567 ms
64 bytes from 10.0.0.1: icmp_seq=135 ttl=64 time=0.571 ms
64 bytes from 10.0.0.1: icmp_seq=136 ttl=64 time=0.564 ms
64 bytes from 10.0.0.1: icmp_seq=137 ttl=64 time=0.548 ms
64 bytes from 10.0.0.1: icmp_seq=138 ttl=64 time=0.564 ms
64 bytes from 10.0.0.1: icmp_seq=139 ttl=64 time=0.601 ms
64 bytes from 10.0.0.1: icmp_seq=140 ttl=64 time=0.564 ms
64 bytes from 10.0.0.1: icmp_seq=141 ttl=64 time=0.566 ms
64 bytes from 10.0.0.1: icmp_seq=142 ttl=64 time=0.619 ms
