27297
20150501080020,10.0.0.1,5001,10.0.0.2,51042,4,0.0-0.0,0,0
20150501080026,10.0.0.1,5001,10.0.0.2,51043,5,0.0-1.0,79808696,638469568
20150501080027,10.0.0.1,5001,10.0.0.2,51043,5,1.0-2.0,80983744,647869952
20150501080028,10.0.0.1,5001,10.0.0.2,51043,5,2.0-3.0,81227008,649816064
20150501080029,10.0.0.1,5001,10.0.0.2,51043,5,3.0-4.0,81079312,648634496
20150501080030,10.0.0.1,5001,10.0.0.2,51043,5,4.0-5.0,81529640,652237120
20150501080031,10.0.0.1,5001,10.0.0.2,51043,5,5.0-6.0,81439864,651518912
20150501080032,10.0.0.1,5001,10.0.0.2,51043,5,6.0-7.0,81260312,650082496
20150501080033,10.0.0.1,5001,10.0.0.2,51043,5,7.0-8.0,81116960,648935680
20150501080034,10.0.0.1,5001,10.0.0.2,51043,5,8.0-9.0,81736704,653893632
20150501080035,10.0.0.1,5001,10.0.0.2,51043,5,9.0-10.0,81429728,651437824
20150501080036,10.0.0.1,5001,10.0.0.2,51043,5,10.0-11.0,81982864,655862912
20150501080037,10.0.0.1,5001,10.0.0.2,51043,5,11.0-12.0,81930736,655445888
20150501080038,10.0.0.1,5001,10.0.0.2,51043,5,12.0-13.0,81397176,651177408
20150501080039,10.0.0.1,5001,10.0.0.2,51043,5,13.0-14.0,82031344,656250752
20150501080040,10.0.0.1,5001,10.0.0.2,51043,5,14.0-15.0,81907568,655260544
20150501080041,10.0.0.1,5001,10.0.0.2,51043,5,15.0-16.0,81697608,653580864
20150501080042,10.0.0.1,5001,10.0.0.2,51043,5,16.0-17.0,82124768,656998144
20150501080043,10.0.0.1,5001,10.0.0.2,51043,5,17.0-18.0,81591904,652735232
20150501080044,10.0.0.1,5001,10.0.0.2,51043,5,18.0-19.0,81988656,655909248
20150501080045,10.0.0.1,5001,10.0.0.2,51043,5,19.0-20.0,81961144,655689152
20150501080046,10.0.0.1,5001,10.0.0.2,51043,5,20.0-21.0,42742784,341942272
20150501080046,10.0.0.1,5001,10.0.0.3,53016,4,0.0-1.0,24837240,198697920
20150501080047,10.0.0.1,5001,10.0.0.2,51043,5,21.0-22.0,40203720,321629760
20150501080047,10.0.0.1,5001,10.0.0.3,53016,4,1.0-2.0,43038904,344311232
20150501080048,10.0.0.1,5001,10.0.0.2,51043,5,22.0-23.0,28718184,229745472
20150501080048,10.0.0.1,5001,10.0.0.3,53016,4,2.0-3.0,54074112,432592896
20150501080049,10.0.0.1,5001,10.0.0.2,51043,5,23.0-24.0,33605184,268841472
20150501080049,10.0.0.1,5001,10.0.0.3,53016,4,3.0-4.0,48989336,391914688
20150501080050,10.0.0.1,5001,10.0.0.2,51043,5,24.0-25.0,36241992,289935936
20150501080050,10.0.0.1,5001,10.0.0.3,53016,4,4.0-5.0,46677336,373418688
20150501080051,10.0.0.1,5001,10.0.0.2,51043,5,25.0-26.0,40484632,323877056
20150501080051,10.0.0.1,5001,10.0.0.3,53016,4,5.0-6.0,42245200,337961600
20150501080052,10.0.0.1,5001,10.0.0.2,51043,5,26.0-27.0,41262208,330097664
20150501080052,10.0.0.1,5001,10.0.0.3,53016,4,6.0-7.0,41618832,332950656
20150501080053,10.0.0.1,5001,10.0.0.2,51043,5,27.0-28.0,40766992,326135936
20150501080053,10.0.0.1,5001,10.0.0.3,53016,4,7.0-8.0,42291736,338333888
20150501080054,10.0.0.1,5001,10.0.0.2,51043,5,28.0-29.0,42514728,340117824
20150501080054,10.0.0.1,5001,10.0.0.3,53016,4,8.0-9.0,40262424,322099392
20150501080055,10.0.0.1,5001,10.0.0.2,51043,5,29.0-30.0,54066872,432534976
20150501080055,10.0.0.1,5001,10.0.0.3,53016,4,9.0-10.0,28518360,228146880
20150501080056,10.0.0.1,5001,10.0.0.2,51043,5,30.0-31.0,53591928,428735424
20150501080056,10.0.0.1,5001,10.0.0.3,53016,4,10.0-11.0,29240912,233927296
20150501080057,10.0.0.1,5001,10.0.0.2,51043,5,31.0-32.0,49886496,399091968
20150501080057,10.0.0.1,5001,10.0.0.3,53016,4,11.0-12.0,33153408,265227264
20150501080058,10.0.0.1,5001,10.0.0.2,51043,5,32.0-33.0,47395936,379167488
20150501080058,10.0.0.1,5001,10.0.0.3,53016,4,12.0-13.0,35665688,285325504
20150501080059,10.0.0.1,5001,10.0.0.2,51043,5,33.0-34.0,47094752,376758016
20150501080059,10.0.0.1,5001,10.0.0.3,53016,4,13.0-14.0,35610448,284883584
20150501080100,10.0.0.1,5001,10.0.0.2,51043,5,34.0-35.0,54728608,437828864
20150501080100,10.0.0.1,5001,10.0.0.3,53016,4,14.0-15.0,27975360,223802880
20150501080101,10.0.0.1,5001,10.0.0.2,51043,5,35.0-36.0,49541872,396334976
20150501080101,10.0.0.1,5001,10.0.0.3,53016,4,15.0-16.0,33705096,269640768
20150501080102,10.0.0.1,5001,10.0.0.2,51043,5,36.0-37.0,43671680,349373440
20150501080102,10.0.0.1,5001,10.0.0.3,53016,4,16.0-17.0,39374016,314992128
20150501080103,10.0.0.1,5001,10.0.0.2,51043,5,37.0-38.0,42940440,343523520
20150501080103,10.0.0.1,5001,10.0.0.3,53016,4,17.0-18.0,39907824,319262592
20150501080104,10.0.0.1,5001,10.0.0.2,51043,5,38.0-39.0,42613192,340905536
20150501080104,10.0.0.1,5001,10.0.0.3,53016,4,18.0-19.0,40351416,322811328
20150501080105,10.0.0.1,5001,10.0.0.2,51043,5,39.0-40.0,42278704,338229632
20150501080105,10.0.0.1,5001,10.0.0.3,53016,4,19.0-20.0,40748704,325989632
20150501080106,10.0.0.1,5001,10.0.0.2,51043,5,40.0-41.0,48015680,384125440
20150501080106,10.0.0.1,5001,10.0.0.3,53016,4,20.0-21.0,34597944,276783552
20150501080107,10.0.0.1,5001,10.0.0.2,51043,5,41.0-42.0,46376544,371012352
20150501080107,10.0.0.1,5001,10.0.0.3,53016,4,21.0-22.0,36632952,293063616
20150501080108,10.0.0.1,5001,10.0.0.2,51043,5,42.0-43.0,44977776,359822208
20150501080108,10.0.0.1,5001,10.0.0.3,53016,4,22.0-23.0,38191000,305528000
20150501080109,10.0.0.1,5001,10.0.0.2,51043,5,43.0-44.0,40069056,320552448
20150501080109,10.0.0.1,5001,10.0.0.3,53016,4,23.0-24.0,43202704,345621632
