1430492626.187855,0
1430492626.200705,20
1430492626.213128,15
1430492626.225400,14
1430492626.237743,15
1430492626.250598,21
1430492626.263359,14
1430492626.275690,15
1430492626.288113,16
1430492626.300704,19
1430492626.313039,13
1430492626.325266,14
1430492626.337637,13
1430492626.350011,12
1430492626.362214,14
1430492626.374428,18
1430492626.387551,8
1430492626.399852,13
1430492626.412590,15
1430492626.425015,15
1430492626.437553,20
1430492626.449910,10
1430492626.462478,10
1430492626.474954,15
1430492626.487107,18
1430492626.499231,18
1430492626.511531,19
1430492626.524364,19
1430492626.536971,14
1430492626.549604,12
1430492626.561839,15
1430492626.574077,16
1430492626.586427,17
1430492626.598978,18
1430492626.611406,20
1430492626.624657,14
1430492626.636782,14
1430492626.648892,12
1430492626.661318,16
1430492626.673721,14
1430492626.686129,13
1430492626.698697,17
1430492626.711183,17
1430492626.723420,12
1430492626.735835,13
1430492626.748434,16
1430492626.761137,20
1430492626.773279,15
1430492626.785647,16
1430492626.798088,15
1430492626.810197,19
1430492626.822646,19
1430492626.834926,21
1430492626.847551,13
1430492626.859968,14
1430492626.872114,15
1430492626.884860,20
1430492626.897310,15
1430492626.910629,14
1430492626.923290,19
1430492626.935749,15
1430492626.948206,15
1430492626.960620,15
1430492626.972713,15
1430492626.985213,17
1430492626.997208,18
1430492627.009456,26
1430492627.021741,12
1430492627.034274,11
1430492627.047616,16
1430492627.060051,19
1430492627.072767,15
1430492627.085455,16
1430492627.097913,14
1430492627.110540,19
1430492627.122833,18
1430492627.136497,18
1430492627.148875,14
1430492627.161298,15
1430492627.173385,16
1430492627.185783,20
1430492627.198701,10
1430492627.211114,12
1430492627.223492,18
1430492627.235532,19
1430492627.248021,16
1430492627.260125,17
1430492627.272253,15
1430492627.284185,17
1430492627.296190,16
1430492627.308366,20
1430492627.320508,15
1430492627.332811,16
1430492627.345173,16
1430492627.357869,10
1430492627.370100,9
1430492627.382439,8
1430492627.394817,17
1430492627.407553,19
1430492627.419917,10
1430492627.432268,16
1430492627.445140,6
1430492627.457376,20
1430492627.469604,20
1430492627.481884,12
1430492627.494059,14
1430492627.506203,15
1430492627.518544,13
1430492627.530903,12
1430492627.543443,12
1430492627.556148,20
1430492627.568916,14
1430492627.580943,16
1430492627.594146,15
1430492627.606608,19
1430492627.619020,14
1430492627.631784,14
1430492627.644051,15
1430492627.656492,17
1430492627.669008,20
1430492627.681431,21
1430492627.694087,16
1430492627.706479,16
1430492627.718763,19
1430492627.731054,19
1430492627.743892,13
1430492627.756544,12
1430492627.768663,15
1430492627.781087,16
1430492627.793167,18
1430492627.805450,19
1430492627.817865,12
1430492627.830353,10
1430492627.842956,12
1430492627.855868,15
1430492627.868013,10
1430492627.880356,13
1430492627.892562,18
1430492627.904791,15
